'y-axis saved as y
'x,PKT-3-105-2_Y2O3_2BMMnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
19.1959926,277,5.23176679,270.243637,271.768233
19.2164279,297,26.1553475,269.523529,270.844652
19.2368632,323,53.0249792,268.809967,269.975021
19.2572985,265,-4.14225664,268.102884,269.142257
19.2777338,312,43.6637312,267.402211,268.336269
19.2981691,271,3.44732982,266.707882,267.55267
19.3186045,288,21.2117241,266.01983,266.788276
19.3390398,268,1.95936401,265.337987,266.040636
19.3594751,286,20.6921174,264.662288,265.307883
19.3799104,298,33.4110748,263.992668,264.588925
19.4003457,298,34.1156513,263.32906,263.884349
19.420781,285,21.8010706,262.671401,263.198929
19.4412164,269,6.45069073,262.019624,262.549309
19.4616517,273,11.0087195,261.373667,261.991281
19.482087,286,24.3365132,260.733465,261.663487
19.5025223,314,52.3801196,260.098955,261.61988
19.5229576,301,39.5302316,259.470074,261.469768
